company_name,sector,county,group,bord_bia_verified,claim_specificity,claim_credibility,llm_quality_score,claim_sent_score,talk_score,talk_norm,claims_found,greenwash_signals,strengths,auditor_note,walk_positive,walk_neutral,walk_negative,walk_score,walk_score_norm,articles_used,gap_score,risk_level,recommendation
Keelings,Horticulture,Dublin,Verified,True,8,8,8.0,5.16,6.86,9.28,"We have reduced operational water requirements By 40% on our La Brisas farm by using drones. | We produce approximately 200 million strawberries each year. | Keelings ripen 2 million bananas each week in Ireland. | Over 35 million cucumbers are sold by Keelings in the UK annually. | We farm 3,000 acres across Ireland, Costa Rica, and Brazil.",It takes 13 months to produce a single pineapple.,Specific measurable water reduction target | Quantified strawberry production | Quantified banana ripening | Quantified cucumber sales | Transparent land ownership,"Keelings demonstrates a good level of transparency regarding their operations and sustainability efforts, with some specific and measurable targets, but more context and evidence would strengthen their claims.",0.0587,0.7742,0.1671,4.46,0.0,10,1.0,🔴 HIGH RISK," HIGH PRIORITY: ESG claims significantly exceed public evidence. Immediate independent verification strongly advised before any ESG-linked investment or partnership. |  Despite Bord Bia verification, gap score remains high. Review public communications strategy — claims may be overstated. |  High claim volume but low public sentiment: consider whether ESG messaging is reaching external audiences or is only internal-facing."
The Happy Pear,Food,Wicklow,Not Verified,False,2,2,2.0,5.0,3.2,1.31,we care about the environment | nourish your body and soul | plant-based cooking | digestive health | gut health | heart health | sustainable weight loss | menopause management | sleep quality,vague language | unverified certs | no measurable targets,plant-based focus | nutrition education,"The Happy Pear makes generic claims about environmental care and wellness, but lacks specific, measurable targets and verifiable evidence to support these claims.",0.0556,0.7821,0.1622,4.47,0.05,10,0.962,🔴 HIGH RISK," HIGH PRIORITY: ESG claims significantly exceed public evidence. Immediate independent verification strongly advised before any ESG-linked investment or partnership. |  Apply for Bord Bia Origin Green verification to provide independent backing for ESG claims and reduce greenwashing risk. |  Low ESG claim density on website: opportunity to better communicate existing sustainability practices to customers and investors. |  LLM flagged vague language: replace generic phrases with specific, measurable commitments (e.g., ""30% emissions reduction by 2027""). |  No measurable targets detected: add quantified ESG KPIs to sustainability page to improve credibility score. |  Unverified certifications flagged: ensure all mentioned certifications are currently valid and publicly verifiable."
Ballymaloe Foods,Food,Cork,Verified,True,3,6,4.5,7.91,5.86,7.1,We regard our commitment to equality and diversity as a core value | We are excited to announce that our team has gained Gold Membership status for...,vague language | unverified certs,Gender Pay Gap Report 2025 | Gold Membership status,"Some specific claims, but lack of evidence and specificity in most claims",0.0982,0.8246,0.0772,5.1,3.39,10,0.523,🔴 HIGH RISK," HIGH PRIORITY: ESG claims significantly exceed public evidence. Immediate independent verification strongly advised before any ESG-linked investment or partnership. |  Despite Bord Bia verification, gap score remains high. Review public communications strategy — claims may be overstated. |  High claim volume but low public sentiment: consider whether ESG messaging is reaching external audiences or is only internal-facing. |  LLM flagged vague language: replace generic phrases with specific, measurable commitments (e.g., ""30% emissions reduction by 2027""). |  Unverified certifications flagged: ensure all mentioned certifications are currently valid and publicly verifiable."
Flahavan's,Food,Waterford,Verified,True,8,9,8.5,5.23,7.19,10.0,"Sustainability is at the heart of everything we do at Flahavan’s | 70% of our company’s total energy requirements are self-generated on site through our wind turbine, water turbine and solar panels",,Specific energy generation data | Renewable energy sources,Flahavan's demonstrates a strong commitment to sustainability through specific and credible claims about their renewable energy generation.,0.1626,0.7906,0.0468,5.58,5.93,10,0.407,🔴 HIGH RISK," HIGH PRIORITY: ESG claims significantly exceed public evidence. Immediate independent verification strongly advised before any ESG-linked investment or partnership. |  Despite Bord Bia verification, gap score remains high. Review public communications strategy — claims may be overstated."
Glenisk,Dairy,Offaly,Verified,True,2,6,4.0,5.18,4.47,4.07,Irish OrganicAssociation approved | Guaranteed Irish,vague language | no measurable targets,Irish OrganicAssociation certification | Guaranteed Irish certification,"Glenisk makes some credible ESG claims, but lacks specificity and measurable targets.",0.1302,0.7358,0.134,4.98,2.75,10,0.324,🟡 MEDIUM RISK," MODERATE ACTION: Gap between claims and public sentiment detected. Recommend supplementing website claims with measurable data or third-party certifications. |  Despite Bord Bia verification, gap score remains high. Review public communications strategy — claims may be overstated. |  LLM flagged vague language: replace generic phrases with specific, measurable commitments (e.g., ""30% emissions reduction by 2027""). |  No measurable targets detected: add quantified ESG KPIs to sustainability page to improve credibility score."
Carbery,Dairy,Cork,Verified,True,6,8,7.0,7.35,7.14,9.89,"We are pioneering the next generation of nutritional ingredients, natural cheese and flavour solutions. | Sustainability sits at the very heart of our business, ensuring our approach to our business and the communities in which we operate, are mutually beneficial. | Carbery Group again attains gold membership of Origin Green",vague language | no measurable targets,pioneering next generation of nutritional ingredients | gold membership of Origin Green,"Carbery makes some specific claims about sustainability, but lacks concrete targets and metrics to support these claims.",0.2565,0.6803,0.0632,5.97,7.99,10,0.192,🟢 LOW RISK," LOW RISK: Minor gap detected. Consider publishing a formal sustainability report with KPIs to close the credibility gap. |  LLM flagged vague language: replace generic phrases with specific, measurable commitments (e.g., ""30% emissions reduction by 2027""). |  No measurable targets detected: add quantified ESG KPIs to sustainability page to improve credibility score."
Bread 41,Bakery,Dublin,Not Verified,False,6,8,7.0,5.6,6.44,8.37,"We use organic flour in all our breads, these grains are not only better tasting but more sustainable also. | Our organic flour is supplied by Shipton Mill where the wholemeal flours are milled on the banks of the local river. | We will also be stone milling ourselves onsite using a variety of ancient Irish grains where possible.",,Use of organic flour | Sourcing from local supplier (Shipton Mill) | On-site stone milling,"Bread 41 demonstrates a commitment to using organic and sustainable ingredients, with a focus on local sourcing and traditional milling processes.",0.2215,0.7534,0.0251,5.98,8.04,10,0.039,✅ CREDIBLE, CREDIBLE PROFILE: Public reputation matches or exceeds ESG claims. Maintain current approach and consider showcasing this credibility.
Ballycotton Seafood,Seafood,Cork,Not Verified,False,1,1,1.0,5.0,2.6,0.0,,,family owned business | local sourcing,"No ESG claims found, but business practices suggest a focus on local sourcing and traditional methods.",0.1528,0.8257,0.0215,5.66,6.35,10,0.0,✅ CREDIBLE, CREDIBLE PROFILE: Public reputation matches or exceeds ESG claims. Maintain current approach and consider showcasing this credibility. |  Low ESG claim density on website: opportunity to better communicate existing sustainability practices to customers and investors.
Wilde Irish Chocolates,Food,Galway,Not Verified,False,1,1,1.0,5.0,2.6,0.0,,,"no ESG claims, no greenwashing signals",No ESG claims or greenwashing signals detected on the website,0.205,0.7722,0.0228,5.91,7.67,10,0.0,✅ CREDIBLE, CREDIBLE PROFILE: Public reputation matches or exceeds ESG claims. Maintain current approach and consider showcasing this credibility. |  Low ESG claim density on website: opportunity to better communicate existing sustainability practices to customers and investors. |  Strong public reputation but under-claiming on website: update website to reflect strong ESG track record.
Fiid,Food,Dublin,Not Verified,False,1,1,1.0,5.0,2.6,0.0,,website not accessible,,Website could not be accessed,0.1439,0.7439,0.1123,5.16,3.7,10,0.0,✅ CREDIBLE, CREDIBLE PROFILE: Public reputation matches or exceeds ESG claims. Maintain current approach and consider showcasing this credibility. |  Low ESG claim density on website: opportunity to better communicate existing sustainability practices to customers and investors.
Coffeeangel,Beverage,Dublin,Not Verified,False,2,1,1.5,5.38,3.05,0.98,5% of profits committed to fund local biodiversity,repetition of claim for emphasis | no evidence or targets,commitment to biodiversity,"While Coffeeangel commits to funding local biodiversity, the claim lacks specificity and credibility, and may be a greenwashing signal due to repetition and lack of evidence.",0.1081,0.8594,0.0325,5.38,4.87,10,0.0,✅ CREDIBLE, CREDIBLE PROFILE: Public reputation matches or exceeds ESG claims. Maintain current approach and consider showcasing this credibility. |  Low ESG claim density on website: opportunity to better communicate existing sustainability practices to customers and investors.
The Naked Collective,Beverage,Dublin,Not Verified,False,1,1,1.0,5.0,2.6,0.0,,website not accessible,,Website could not be accessed,0.1229,0.8487,0.0284,5.47,5.34,10,0.0,✅ CREDIBLE, CREDIBLE PROFILE: Public reputation matches or exceeds ESG claims. Maintain current approach and consider showcasing this credibility. |  Low ESG claim density on website: opportunity to better communicate existing sustainability practices to customers and investors.
Cream of the Crop,Food,Dublin,Not Verified,False,1,1,1.0,5.0,2.6,0.0,,website not accessible,,Website could not be accessed,0.1379,0.835,0.0272,5.55,5.77,10,0.0,✅ CREDIBLE, CREDIBLE PROFILE: Public reputation matches or exceeds ESG claims. Maintain current approach and consider showcasing this credibility. |  Low ESG claim density on website: opportunity to better communicate existing sustainability practices to customers and investors.
Cloud Picker Coffee,Beverage,Dublin,Not Verified,False,2,2,2.0,6.15,3.66,2.31,"committed to quality, community, and sustainability | making a positive impact",vague language,tailored pricing | easy reordering | smooth logistics,"Company claims commitment to sustainability and community, but lacks specific details and evidence.",0.1146,0.8633,0.0221,5.46,5.29,10,0.0,✅ CREDIBLE," CREDIBLE PROFILE: Public reputation matches or exceeds ESG claims. Maintain current approach and consider showcasing this credibility. |  Low ESG claim density on website: opportunity to better communicate existing sustainability practices to customers and investors. |  LLM flagged vague language: replace generic phrases with specific, measurable commitments (e.g., ""30% emissions reduction by 2027"")."
Clonakilty Food Co,Food,Cork,Verified,True,1,1,1.0,5.0,2.6,0.0,,,"no ESG claims, no potential for greenwashing","No ESG claims found on the website, a positive for avoiding greenwashing",0.1368,0.8398,0.0233,5.57,5.87,10,0.0,✅ CREDIBLE, CREDIBLE PROFILE: Public reputation matches or exceeds ESG claims. Maintain current approach and consider showcasing this credibility. |  Low ESG claim density on website: opportunity to better communicate existing sustainability practices to customers and investors.
Country Crest,Horticulture,Dublin,Verified,True,1,1,1.0,5.0,2.6,0.0,,website not accessible,,Website could not be accessed,0.2275,0.684,0.0885,5.7,6.56,10,0.0,✅ CREDIBLE, CREDIBLE PROFILE: Public reputation matches or exceeds ESG claims. Maintain current approach and consider showcasing this credibility. |  Low ESG claim density on website: opportunity to better communicate existing sustainability practices to customers and investors.
Durrus Cheese,Dairy,Cork,Verified,True,2,1,1.5,5.25,3.0,0.87,sustainability | quality | enjoyment of the work we do every day,vague language,,Company mentions sustainability as a founding principle but lacks specific details or evidence to support this claim.,0.1312,0.8462,0.0226,5.54,5.71,10,0.0,✅ CREDIBLE," CREDIBLE PROFILE: Public reputation matches or exceeds ESG claims. Maintain current approach and consider showcasing this credibility. |  Low ESG claim density on website: opportunity to better communicate existing sustainability practices to customers and investors. |  LLM flagged vague language: replace generic phrases with specific, measurable commitments (e.g., ""30% emissions reduction by 2027"")."
Builin Blasta,Bakery,Galway,Verified,True,1,1,1.0,5.0,2.6,0.0,,,clear display of food products,"No ESG claims found on the website, but the company showcases its commitment to quality and Irish food heritage.",0.1051,0.7742,0.1206,4.92,2.43,10,0.0,✅ CREDIBLE, CREDIBLE PROFILE: Public reputation matches or exceeds ESG claims. Maintain current approach and consider showcasing this credibility. |  Low ESG claim density on website: opportunity to better communicate existing sustainability practices to customers and investors.
Connemara Organic Seaweeds,Seafood,Galway,Verified,True,1,1,1.0,5.0,2.6,0.0,,website not accessible,,Website could not be accessed,0.1415,0.8373,0.0212,5.6,6.03,5,0.0,✅ CREDIBLE, CREDIBLE PROFILE: Public reputation matches or exceeds ESG claims. Maintain current approach and consider showcasing this credibility. |  Low ESG claim density on website: opportunity to better communicate existing sustainability practices to customers and investors.
Kilbeggan Organic Foods,Food,Westmeath,Verified,True,1,1,1.0,5.0,2.6,0.0,,website not accessible,,Website could not be accessed,0.1284,0.8027,0.0689,5.3,4.44,10,0.0,✅ CREDIBLE, CREDIBLE PROFILE: Public reputation matches or exceeds ESG claims. Maintain current approach and consider showcasing this credibility. |  Low ESG claim density on website: opportunity to better communicate existing sustainability practices to customers and investors.
Regan Organic Produce,Horticulture,Wexford,Verified,True,1,1,1.0,5.0,2.6,0.0,,website not accessible,,Website could not be accessed,0.1017,0.8764,0.0219,5.4,4.97,10,0.0,✅ CREDIBLE, CREDIBLE PROFILE: Public reputation matches or exceeds ESG claims. Maintain current approach and consider showcasing this credibility. |  Low ESG claim density on website: opportunity to better communicate existing sustainability practices to customers and investors.
Sofrimar,Seafood,Wexford,Verified,True,2,1,1.5,5.32,3.03,0.94,sustainability | highest standards of Sustainability,vague language,,"Lack of specific ESG information, vague sustainability claims",0.2908,0.6894,0.0198,6.35,10.0,5,0.0,✅ CREDIBLE," CREDIBLE PROFILE: Public reputation matches or exceeds ESG claims. Maintain current approach and consider showcasing this credibility. |  Low ESG claim density on website: opportunity to better communicate existing sustainability practices to customers and investors. |  Strong public reputation but under-claiming on website: update website to reflect strong ESG track record. |  LLM flagged vague language: replace generic phrases with specific, measurable commitments (e.g., ""30% emissions reduction by 2027"")."
Killowen Farm,Dairy,Wexford,Verified,True,1,1,1.0,5.0,2.6,0.0,,website not accessible,,Website could not be accessed,0.291,0.6873,0.0216,6.35,10.0,10,0.0,✅ CREDIBLE, CREDIBLE PROFILE: Public reputation matches or exceeds ESG claims. Maintain current approach and consider showcasing this credibility. |  Low ESG claim density on website: opportunity to better communicate existing sustainability practices to customers and investors. |  Strong public reputation but under-claiming on website: update website to reflect strong ESG track record.
Glenilen Farm,Dairy,Cork,Verified,True,1,1,1.0,5.0,2.6,0.0,,website not accessible,,Website could not be accessed,0.2964,0.668,0.0356,6.3,9.74,10,0.0,✅ CREDIBLE, CREDIBLE PROFILE: Public reputation matches or exceeds ESG claims. Maintain current approach and consider showcasing this credibility. |  Low ESG claim density on website: opportunity to better communicate existing sustainability practices to customers and investors. |  Strong public reputation but under-claiming on website: update website to reflect strong ESG track record.
Folláin,Food,Cork,Verified,True,1,1,1.0,5.0,2.6,0.0,,,family business | local production,"No ESG claims found, but company emphasizes local production and family business",0.2032,0.7726,0.0242,5.89,7.57,10,0.0,✅ CREDIBLE, CREDIBLE PROFILE: Public reputation matches or exceeds ESG claims. Maintain current approach and consider showcasing this credibility. |  Low ESG claim density on website: opportunity to better communicate existing sustainability practices to customers and investors. |  Strong public reputation but under-claiming on website: update website to reflect strong ESG track record.
GIY Ireland,Food,Waterford,Not Verified,False,5,5,5.0,5.36,5.14,5.53,"eat seasonal, organic food | grow some of their own food | make better everyday food choices | reconnect to healthy, sustainable food | grow, cook and eat better | make real, whole foods accessible | changing how we eat and live | grow as well as informing them about why growing is so important",vague language | no measurable targets,focus on organic food | community engagement | education on sustainable food,"GIY Ireland makes generic claims about sustainable food, but lacks specific targets and measurable data to support their claims.",0.1455,0.8298,0.0248,5.6,6.03,10,0.0,✅ CREDIBLE," CREDIBLE PROFILE: Public reputation matches or exceeds ESG claims. Maintain current approach and consider showcasing this credibility. |  LLM flagged vague language: replace generic phrases with specific, measurable commitments (e.g., ""30% emissions reduction by 2027""). |  No measurable targets detected: add quantified ESG KPIs to sustainability page to improve credibility score."
