company_name,sector,county,group,bord_bia_verified,claim_specificity,claim_credibility,llm_quality_score,claims_found,greenwash_signals,strengths,auditor_note,claim_sent_score,claim_pos,claim_neg,hybrid_talk_score
Flahavan's,Food,Waterford,Verified,True,8,9,8.5,"Sustainability is at the heart of everything we do at Flahavan’s | 70% of our company’s total energy requirements are self-generated on site through our wind turbine, water turbine and solar panels",,Specific energy generation data | Renewable energy sources,Flahavan's demonstrates a strong commitment to sustainability through specific and credible claims about their renewable energy generation.,5.23,0.0591,0.0126,7.19
Glenisk,Dairy,Offaly,Verified,True,2,6,4.0,Irish OrganicAssociation approved | Guaranteed Irish,vague language | no measurable targets,Irish OrganicAssociation certification | Guaranteed Irish certification,"Glenisk makes some credible ESG claims, but lacks specificity and measurable targets.",5.18,0.0538,0.0179,4.47
Ballymaloe Foods,Food,Cork,Verified,True,3,6,4.5,We regard our commitment to equality and diversity as a core value | We are excited to announce that our team has gained Gold Membership status for...,vague language | unverified certs,Gender Pay Gap Report 2025 | Gold Membership status,"Some specific claims, but lack of evidence and specificity in most claims",7.91,0.5919,0.0109,5.86
Keelings,Horticulture,Dublin,Verified,True,8,8,8.0,"We have reduced operational water requirements By 40% on our La Brisas farm by using drones. | We produce approximately 200 million strawberries each year. | Keelings ripen 2 million bananas each week in Ireland. | Over 35 million cucumbers are sold by Keelings in the UK annually. | We farm 3,000 acres across Ireland, Costa Rica, and Brazil.",It takes 13 months to produce a single pineapple.,Specific measurable water reduction target | Quantified strawberry production | Quantified banana ripening | Quantified cucumber sales | Transparent land ownership,"Keelings demonstrates a good level of transparency regarding their operations and sustainability efforts, with some specific and measurable targets, but more context and evidence would strengthen their claims.",5.16,0.151,0.1199,6.86
Folláin,Food,Cork,Verified,True,1,1,1.0,,,family business | local production,"No ESG claims found, but company emphasizes local production and family business",5.0,0.0,0.0,2.6
Glenilen Farm,Dairy,Cork,Verified,True,1,1,1.0,,website not accessible,,Website could not be accessed,5.0,0.0,0.0,2.6
Killowen Farm,Dairy,Wexford,Verified,True,1,1,1.0,,website not accessible,,Website could not be accessed,5.0,0.0,0.0,2.6
Sofrimar,Seafood,Wexford,Verified,True,2,1,1.5,sustainability | highest standards of Sustainability,vague language,,"Lack of specific ESG information, vague sustainability claims",5.32,0.0907,0.0261,3.03
Regan Organic Produce,Horticulture,Wexford,Verified,True,1,1,1.0,,website not accessible,,Website could not be accessed,5.0,0.0,0.0,2.6
Kilbeggan Organic Foods,Food,Westmeath,Verified,True,1,1,1.0,,website not accessible,,Website could not be accessed,5.0,0.0,0.0,2.6
Connemara Organic Seaweeds,Seafood,Galway,Verified,True,1,1,1.0,,website not accessible,,Website could not be accessed,5.0,0.0,0.0,2.6
Builin Blasta,Bakery,Galway,Verified,True,1,1,1.0,,,clear display of food products,"No ESG claims found on the website, but the company showcases its commitment to quality and Irish food heritage.",5.0,0.0,0.0,2.6
Durrus Cheese,Dairy,Cork,Verified,True,2,1,1.5,sustainability | quality | enjoyment of the work we do every day,vague language,,Company mentions sustainability as a founding principle but lacks specific details or evidence to support this claim.,5.25,0.0827,0.0331,3.0
Clonakilty Food Co,Food,Cork,Verified,True,1,1,1.0,,,"no ESG claims, no potential for greenwashing","No ESG claims found on the website, a positive for avoiding greenwashing",5.0,0.0,0.0,2.6
Country Crest,Horticulture,Dublin,Verified,True,1,1,1.0,,website not accessible,,Website could not be accessed,5.0,0.0,0.0,2.6
Carbery,Dairy,Cork,Verified,True,6,8,7.0,"We are pioneering the next generation of nutritional ingredients, natural cheese and flavour solutions. | Sustainability sits at the very heart of our business, ensuring our approach to our business and the communities in which we operate, are mutually beneficial. | Carbery Group again attains gold membership of Origin Green",vague language | no measurable targets,pioneering next generation of nutritional ingredients | gold membership of Origin Green,"Carbery makes some specific claims about sustainability, but lacks concrete targets and metrics to support these claims.",7.35,0.4789,0.0088,7.14
Bread 41,Bakery,Dublin,Not Verified,False,6,8,7.0,"We use organic flour in all our breads, these grains are not only better tasting but more sustainable also. | Our organic flour is supplied by Shipton Mill where the wholemeal flours are milled on the banks of the local river. | We will also be stone milling ourselves onsite using a variety of ancient Irish grains where possible.",,Use of organic flour | Sourcing from local supplier (Shipton Mill) | On-site stone milling,"Bread 41 demonstrates a commitment to using organic and sustainable ingredients, with a focus on local sourcing and traditional milling processes.",5.6,0.1326,0.0125,6.44
Cloud Picker Coffee,Beverage,Dublin,Not Verified,False,2,2,2.0,"committed to quality, community, and sustainability | making a positive impact",vague language,tailored pricing | easy reordering | smooth logistics,"Company claims commitment to sustainability and community, but lacks specific details and evidence.",6.15,0.2435,0.0135,3.66
Cream of the Crop,Food,Dublin,Not Verified,False,1,1,1.0,,website not accessible,,Website could not be accessed,5.0,0.0,0.0,2.6
The Naked Collective,Beverage,Dublin,Not Verified,False,1,1,1.0,,website not accessible,,Website could not be accessed,5.0,0.0,0.0,2.6
Coffeeangel,Beverage,Dublin,Not Verified,False,2,1,1.5,5% of profits committed to fund local biodiversity,repetition of claim for emphasis | no evidence or targets,commitment to biodiversity,"While Coffeeangel commits to funding local biodiversity, the claim lacks specificity and credibility, and may be a greenwashing signal due to repetition and lack of evidence.",5.38,0.0897,0.0129,3.05
The Happy Pear,Food,Wicklow,Not Verified,False,2,2,2.0,we care about the environment | nourish your body and soul | plant-based cooking | digestive health | gut health | heart health | sustainable weight loss | menopause management | sleep quality,vague language | unverified certs | no measurable targets,plant-based focus | nutrition education,"The Happy Pear makes generic claims about environmental care and wellness, but lacks specific, measurable targets and verifiable evidence to support these claims.",5.0,0.0528,0.0537,3.2
Fiid,Food,Dublin,Not Verified,False,1,1,1.0,,website not accessible,,Website could not be accessed,5.0,0.0,0.0,2.6
Wilde Irish Chocolates,Food,Galway,Not Verified,False,1,1,1.0,,,"no ESG claims, no greenwashing signals",No ESG claims or greenwashing signals detected on the website,5.0,0.0,0.0,2.6
Ballycotton Seafood,Seafood,Cork,Not Verified,False,1,1,1.0,,,family owned business | local sourcing,"No ESG claims found, but business practices suggest a focus on local sourcing and traditional methods.",5.0,0.0,0.0,2.6
GIY Ireland,Food,Waterford,Not Verified,False,5,5,5.0,"eat seasonal, organic food | grow some of their own food | make better everyday food choices | reconnect to healthy, sustainable food | grow, cook and eat better | make real, whole foods accessible | changing how we eat and live | grow as well as informing them about why growing is so important",vague language | no measurable targets,focus on organic food | community engagement | education on sustainable food,"GIY Ireland makes generic claims about sustainable food, but lacks specific targets and measurable data to support their claims.",5.36,0.0925,0.0213,5.14
